x,y,z,orientation,length,width,height
1400,1900,0,XY,200,100,100
1600,1900,0,XY,200,100,100
1800,1900,0,XY,200,100,100
2000,1900,0,XY,200,100,100
2200,1900,0,XY,200,100,100
2400,1900,0,XY,200,100,100
2600,1900,0,XY,200,100,100
2800,1900,0,XY,200,100,100
3000,1900,0,XY,200,100,100
3200,1900,0,XY,200,100,100
3400,1900,0,XY,200,100,100
3600,1900,0,XY,200,100,100
3800,1900,0,XY,200,100,100
4000,1900,0,XY,200,100,100
0,2000,0,XY,200,100,100
200,2000,0,XY,200,100,100
400,2000,0,XY,200,100,100
600,2000,0,XY,200,100,100
800,2000,0,XY,200,100,100
1000,2000,0,XY,200,100,100
1200,2000,0,XY,200,100,100
1400,2000,0,XY,200,100,100
1600,2000,0,XY,200,100,100
1800,2000,0,XY,200,100,100
2000,2000,0,XY,200,100,100
2200,2000,0,XY,200,100,100
2400,2000,0,XY,200,100,100
2600,2000,0,XY,200,100,100
2800,2000,0,XY,200,100,100
3000,2000,0,XY,200,100,100
3200,2000,0,XY,200,100,100
3400,2000,0,XY,200,100,100
3600,2000,0,XY,200,100,100
3800,2000,0,XY,200,100,100
4000,2000,0,XY,200,100,100
0,2100,0,XY,200,100,100
200,2100,0,XY,200,100,100
400,2100,0,XY,200,100,100
600,2100,0,XY,200,100,100
800,2100,0,XY,200,100,100
1000,2100,0,XY,200,100,100
1200,2100,0,XY,200,100,100
1400,2100,0,XY,200,100,100
1600,2100,0,XY,200,100,100
1800,2100,0,XY,200,100,100
2000,2100,0,XY,200,100,100
2200,2100,0,XY,200,100,100
2400,2100,0,XY,200,100,100
2600,2100,0,XY,200,100,100
2800,2100,0,XY,200,100,100
3000,2100,0,XY,200,100,100
3200,2100,0,XY,200,100,100
3400,2100,0,XY,200,100,100
3600,2100,0,XY,200,100,100
3800,2100,0,XY,200,100,100
4000,2100,0,XY,200,100,100
0,2200,0,XY,200,100,100
200,2200,0,XY,200,100,100
400,2200,0,XY,200,100,100
600,2200,0,XY,200,100,100
800,2200,0,XY,200,100,100
1000,2200,0,XY,200,100,100
1200,2200,0,XY,200,100,100
1400,2200,0,XY,200,100,100
1600,2200,0,XY,200,100,100
1800,2200,0,XY,200,100,100
2000,2200,0,XY,200,100,100
2200,2200,0,XY,200,100,100
2400,2200,0,XY,200,100,100
2600,2200,0,XY,200,100,100
2800,2200,0,XY,200,100,100
3000,2200,0,XY,200,100,100
3200,2200,0,XY,200,100,100
3400,2200,0,XY,200,100,100
3600,2200,0,XY,200,100,100
3800,2200,0,XY,200,100,100
4000,2200,0,XY,200,100,100
0,2300,0,XY,200,100,100
200,2300,0,XY,200,100,100
400,2300,0,XY,200,100,100
600,2300,0,XY,200,100,100
800,2300,0,XY,200,100,100
1000,2300,0,XY,200,100,100
1200,2300,0,XY,200,100,100
1400,2300,0,XY,200,100,100
1600,2300,0,XY,200,100,100
1800,2300,0,XY,200,100,100
2000,2300,0,XY,200,100,100
2200,2300,0,XY,200,100,100
2400,2300,0,XY,200,100,100
2600,2300,0,XY,200,100,100
